DATE,DTB3
4/11/13,0.05
5/11/13,0.05
6/11/13,0.05
7/11/13,0.05
8/11/13,0.06
11/11/13,.
12/11/13,0.08
13/11/13,0.08
14/11/13,0.08
15/11/13,0.08
18/11/13,0.09
19/11/13,0.08
20/11/13,0.08
21/11/13,0.07
22/11/13,0.07
25/11/13,0.08
26/11/13,0.07
27/11/13,0.07
28/11/13,.
29/11/13,0.06
2/12/13,0.05
3/12/13,0.06
4/12/13,0.06
5/12/13,0.06
6/12/13,0.06
9/12/13,0.07
10/12/13,0.07
11/12/13,0.07
12/12/13,0.07
13/12/13,0.07
16/12/13,0.07
17/12/13,0.07
18/12/13,0.07
19/12/13,0.06
20/12/13,0.07
23/12/13,0.07
24/12/13,0.07
25/12/13,.
26/12/13,0.07
27/12/13,0.07
30/12/13,0.07
31/12/13,0.07
1/1/14,.
2/1/14,0.07
3/1/14,0.07
6/1/14,0.05
7/1/14,0.04
8/1/14,0.05
9/1/14,0.04
10/1/14,0.05
13/1/14,0.03
14/1/14,0.04
15/1/14,0.04
16/1/14,0.04
17/1/14,0.05
20/1/14,.
21/1/14,0.04
22/1/14,0.04
23/1/14,0.04
24/1/14,0.04
27/1/14,0.05
28/1/14,0.05
29/1/14,0.04
30/1/14,0.02
31/1/14,0.02
3/2/14,0.05
4/2/14,0.06
5/2/14,0.07
6/2/14,0.07
7/2/14,0.08
10/2/14,0.07
11/2/14,0.05
12/2/14,0.05
13/2/14,0.03
14/2/14,0.02
17/2/14,.
18/2/14,0.05
19/2/14,0.06
20/2/14,0.05
21/2/14,0.05
24/2/14,0.05
25/2/14,0.05
26/2/14,0.05
27/2/14,0.04
28/2/14,0.05
3/3/14,0.05
4/3/14,0.05
5/3/14,0.06
6/3/14,0.05
7/3/14,0.06
10/3/14,0.05
11/3/14,0.05
12/3/14,0.05
13/3/14,0.05
14/3/14,0.05
17/3/14,0.06
18/3/14,0.05
19/3/14,0.06
20/3/14,0.06
21/3/14,0.06
24/3/14,0.06
25/3/14,0.05
26/3/14,0.05
27/3/14,0.04
28/3/14,0.04
31/3/14,0.05
1/4/14,0.04
2/4/14,0.02
3/4/14,0.02
4/4/14,0.03
7/4/14,0.03
8/4/14,0.03
9/4/14,0.04
10/4/14,0.04
11/4/14,0.04
14/4/14,0.04
15/4/14,0.04
16/4/14,0.04
17/4/14,0.03
18/4/14,.
21/4/14,0.04
22/4/14,0.03
23/4/14,0.02
24/4/14,0.01
25/4/14,0.03
28/4/14,0.03
29/4/14,0.02
30/4/14,0.03
1/5/14,0.03
2/5/14,0.02
5/5/14,0.03
6/5/14,0.03
7/5/14,0.03
8/5/14,0.03
9/5/14,0.03
12/5/14,0.03
13/5/14,0.03
14/5/14,0.03
15/5/14,0.03
16/5/14,0.03
19/5/14,0.03
20/5/14,0.03
21/5/14,0.04
22/5/14,0.03
23/5/14,0.04
26/5/14,.
27/5/14,0.04
28/5/14,0.04
29/5/14,0.04
30/5/14,0.04
2/6/14,0.04
3/6/14,0.04
4/6/14,0.04
5/6/14,0.04
6/6/14,0.04
9/6/14,0.04
10/6/14,0.04
11/6/14,0.04
12/6/14,0.04
13/6/14,0.04
16/6/14,0.04
17/6/14,0.04
18/6/14,0.03
19/6/14,0.02
20/6/14,0.02
23/6/14,0.03
24/6/14,0.03
25/6/14,0.03
26/6/14,0.04
27/6/14,0.03
30/6/14,0.04
1/7/14,0.02
2/7/14,0.02
3/7/14,0.01
4/7/14,.
7/7/14,0.04
8/7/14,0.03
9/7/14,0.03
10/7/14,0.02
11/7/14,0.02
14/7/14,0.03
15/7/14,0.02
16/7/14,0.02
17/7/14,0.02
18/7/14,0.02
21/7/14,0.03
22/7/14,0.03
23/7/14,0.03
24/7/14,0.03
25/7/14,0.03
28/7/14,0.04
29/7/14,0.02
30/7/14,0.04
31/7/14,0.03
1/8/14,0.03
4/8/14,0.04
5/8/14,0.03
6/8/14,0.03
7/8/14,0.03
8/8/14,0.03
11/8/14,0.04
12/8/14,0.03
13/8/14,0.04
14/8/14,0.04
15/8/14,0.03
18/8/14,0.03
19/8/14,0.03
20/8/14,0.04
21/8/14,0.02
22/8/14,0.03
25/8/14,0.04
